GENDER,AGE_GRP,VISIT_ORDER,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,DGSTFN,VISIT_AREA_NM,X_COORD,Y_COORD
0.0,30.0,11,5.0,1.0,4.0,2.0,2.0,5.0,2.0,강화화개산모노레일,126.2914809,37.78336352
1.0,30.0,11,4.0,1.0,4.0,4.0,2.0,4.0,3.0,책약방,126.8976908,33.49295336
0.0,20.0,11,2.0,2.0,3.0,3.0,6.0,6.0,2.0,해넘이마을,126.3824856,37.61829862
1.0,20.0,15,4.0,2.0,5.0,4.0,4.0,7.0,4.0,이호테우해수욕장,126.4526908,33.4973768
1.0,20.0,21,5.0,2.0,5.0,4.0,3.0,7.0,4.0,비양도,126.2273484,33.41027771
0.0,20.0,25,4.0,1.0,6.0,5.0,3.0,3.0,5.0,서귀포매일올레시장,126.5632316,33.25015006
0.0,30.0,5,2.0,3.0,1.0,2.0,1.0,7.0,4.0,용연계곡,126.514431,33.51276463
1.0,20.0,20,7.0,4.0,7.0,7.0,6.0,6.0,4.0,알마커피제작소,126.6947744,33.55021727
0.0,30.0,21,2.0,2.0,4.0,5.0,2.0,6.0,5.0,카멜리아힐,126.3700095,33.28963443
1.0,30.0,30,4.0,5.0,3.0,2.0,7.0,2.0,5.0,전주부채문화관,127.1519212,35.8156038
1.0,30.0,14,1.0,7.0,1.0,1.0,7.0,4.0,5.0,쌍둥이횟집,126.5629275,33.24656772
0.0,30.0,17,7.0,2.0,2.0,6.0,2.0,6.0,2.0,투썸플레이스 제주루마인점,126.9013819,33.48427118
1.0,30.0,7,2.0,4.0,4.0,5.0,5.0,5.0,4.0,온오프,126.961347,33.5129078
1.0,20.0,53,2.0,3.0,4.0,3.0,5.0,5.0,5.0,파리바게뜨 제주공항점,126.492996,33.50673187
1.0,20.0,14,3.0,3.0,2.0,2.0,6.0,2.0,4.0,부부키친,126.8880928,33.44310235
1.0,20.0,35,2.0,3.0,7.0,4.0,6.0,3.0,5.0,용연계곡,126.514431,33.51276463
0.0,30.0,5,1.0,1.0,2.0,3.0,4.0,3.0,5.0,장수물식당,126.4985854,33.49188198
1.0,20.0,7,1.0,1.0,1.0,1.0,7.0,1.0,5.0,제주고집,126.4848465,33.51094834
1.0,20.0,25,3.0,2.0,6.0,6.0,6.0,6.0,4.0,쓩쓩렌탈샵 월정점,,
0.0,50.0,2,5.0,3.0,3.0,4.0,3.0,4.0,3.0,왈종미술관,126.5736673,33.24529312
1.0,20.0,2,2.0,2.0,3.0,3.0,3.0,6.0,2.0,교동제비집,126.2795076,37.78143316
1.0,30.0,5,1.0,7.0,1.0,1.0,2.0,6.0,3.0,제주동문재래시장,126.5260174,33.51158514
1.0,20.0,7,3.0,2.0,2.0,7.0,6.0,2.0,4.0,커피에반하다 영종중산점,126.5483412,37.49481968
0.0,30.0,3,2.0,2.0,2.0,4.0,4.0,7.0,5.0,대란갈비,126.5255214,33.49832985
1.0,30.0,10,2.0,1.0,3.0,4.0,2.0,4.0,4.0,매미성,128.7049836,34.96808254
